name,gender,hairLength,elasticity,front_image,round,oval,oblong,square,heart,diamond,triangular,pear,ut,tt,tf,ff,fs,os,FilePath,image_encodings
David Beckham Short Straight    Brunette   Hairstyle   with Dark Blonde Highlights,Men,Short,Straight,front_David Beckham Short Straight    Brunette   Hairstyle   with Dark Blonde Highlights_David-Beckham.jpg,1,1,0,0,1,0,1,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_David Beckham Short Straight    Brunette   Hairstyle   with Dark Blonde Highlights_David-Beckham.jpg,"[-0.17245094  0.12171945  0.01559694 -0.04011114 -0.06420234  0.05260921
 -0.06925971 -0.04053405  0.1023151  -0.08703722  0.28941619 -0.07001548
 -0.30123654 -0.09164932  0.07165233  0.03217321 -0.14637174 -0.13416779
 -0.09223652 -0.04683115  0.0258168   0.02407083  0.01352545  0.04010373
 -0.16180229 -0.32802844 -0.01840032 -0.04840458  0.11351927 -0.21717423
 -0.01107535 -0.00347553 -0.18680061 -0.02696275 -0.06747802  0.09146649
 -0.13137712 -0.10931452  0.24882384 -0.00591754 -0.14067742 -0.02498912
 -0.01825074  0.26797101  0.19859672 -0.07630774  0.00268244 -0.08044939
  0.09068779 -0.32906178  0.04333652  0.27250865  0.10424238  0.1227311
  0.07894202 -0.13604757 -0.01757244  0.1989723  -0.13516235  0.12369227
  0.03357749  0.04333218  0.04507053 -0.09086466  0.1719289   0.08740577
 -0.11697955 -0.18839364  0.05758755 -0.12718102 -0.07391007  0.22910732
 -0.0834365  -0.28637397 -0.17292435  0.10117125  0.24387796  0.16883072
 -0.18795228 -0.00070163 -0.08103547 -0.16987665  0.03855844  0.04632618
 -0.05198    -0.07488136 -0.10596858  0.05168831  0.23389064  0.04563409
 -0.013295    0.26773497  0.056315    0.01440215  0.06743537  0.0692995
 -0.12028877 -0.00065053 -0.09108178 -0.02876914  0.03429364 -0.14893577
 -0.03485907  0.09385192 -0.1005073   0.26310295 -0.00242366  0.03384317
  0.01613391 -0.06650858 -0.05068821  0.02712994  0.17503427 -0.30254564
  0.19454911  0.14153334  0.11188498  0.11500442  0.09279705  0.05966115
  0.01221969  0.02649034 -0.14994584 -0.03364116 -0.01630576 -0.0417826
 -0.02007327 -0.00301617]"
David Beckham Long Wavy     Hairstyle  ,Men,Long,Wavy,front_David Beckham Long Wavy     Hairstyle  _2493_David-Beckham.jpg,1,1,1,0,0,1,0,0,1,1,1,1,1,0,/content/drive/My Drive/MALE/front_David Beckham Long Wavy     Hairstyle  _2493_David-Beckham.jpg,"[-0.19495434  0.17950328  0.00913119 -0.06339741 -0.07204482  0.05111273
  0.01096415 -0.03449437  0.11493322 -0.07669771  0.2425002  -0.04347461
 -0.29165995 -0.08840781  0.05628884  0.04650842 -0.16776934 -0.15075228
 -0.10327704 -0.07565931  0.0585048   0.02194434  0.02891925  0.08592682
 -0.19678622 -0.33799025  0.00496737 -0.10858445  0.0574558  -0.23041894
  0.02467832 -0.00284036 -0.16336074 -0.03710205 -0.07034326  0.09701738
 -0.17198238 -0.09686521  0.27534336  0.02238838 -0.16657105 -0.02165876
 -0.00748773  0.33711162  0.24730647 -0.00152886 -0.00744142 -0.05853447
  0.158333   -0.31991127  0.05307448  0.24296215  0.0841258   0.13108176
  0.05873096 -0.11759572 -0.01303263  0.16680083 -0.18102285  0.11300549
 -0.00184844 -0.05894041  0.05121898 -0.09042031  0.19193605  0.04302418
 -0.12796287 -0.10015953  0.1181935  -0.16505885 -0.0938611   0.20854816
 -0.08664289 -0.28647828 -0.17554453  0.10936312  0.27891156  0.21369281
 -0.11450877 -0.03733704 -0.09579951 -0.13415261  0.01790157  0.10828459
 -0.072492   -0.07974361 -0.07272264  0.04434635  0.24356021  0.03085213
 -0.06323496  0.32052386  0.05349282  0.00802351  0.04738945  0.03973024
 -0.13836816  0.01940986 -0.08410698 -0.05650162  0.05329495 -0.17688894
 -0.01098992  0.10011062 -0.1647117   0.2334785  -0.01568041  0.05972464
  0.01714801 -0.05140508 -0.10246327 -0.01395328  0.18529761 -0.2929672
  0.1948832   0.21922341  0.10271452  0.12726063  0.12250265  0.02464075
  0.04122632 -0.01539982 -0.169819   -0.02520334  0.08088273  0.00521006
  0.03405035  0.0040882 ]"
David Beckham Medium Straight     Hairstyle  ,Men,Medium,Straight,front_David Beckham Medium Straight     Hairstyle  _1357_David-Beckham.jpg,0,1,1,1,0,1,1,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_David Beckham Medium Straight     Hairstyle  _1357_David-Beckham.jpg,"[-1.63976923e-01  1.83189243e-01  1.98083930e-02 -2.09995508e-02
 -1.10998884e-01  4.45858128e-02 -5.76511174e-02  1.13575123e-02
  1.40611872e-01 -6.52133524e-02  2.39099860e-01 -4.45745364e-02
 -2.60641724e-01 -8.23858827e-02  2.24004984e-02  6.36337548e-02
 -1.77275598e-01 -1.49139002e-01 -7.73098469e-02 -7.29536191e-02
  3.75926942e-02  3.02031636e-04 -1.80017762e-02  4.60315272e-02
 -2.12273210e-01 -2.78035790e-01  1.75780356e-02 -8.80860686e-02
  1.22054093e-01 -2.04211459e-01  4.31175716e-02  2.10986249e-02
 -1.59923837e-01 -8.08856077e-03 -7.11584836e-02  8.95705670e-02
 -1.85702488e-01 -7.58855566e-02  2.74178296e-01 -1.65588763e-02
 -1.77746326e-01  4.97397594e-03 -4.16608006e-02  2.96448022e-01
  2.16521293e-01 -4.76646200e-02  1.74502265e-02 -9.70224887e-02
  1.85849920e-01 -3.41976285e-01  5.37120476e-02  2.94596285e-01
  9.95897949e-02  1.66793942e-01  4.89559732e-02 -1.23057939e-01
  1.13965487e-02  2.19728231e-01 -1.87676355e-01  1.09878555e-01
  2.57403385e-02 -3.14004943e-02  2.85995286e-02 -6.17222711e-02
  1.53494358e-01  7.83904120e-02 -1.09583281e-01 -1.69019267e-01
  1.22001044e-01 -1.57834888e-01 -7.57936090e-02  2.64432430e-01
 -4.68267314e-02 -2.84626335e-01 -2.20915020e-01  1.45173609e-01
  2.71452576e-01  2.04975173e-01 -1.26318842e-01 -2.18839608e-02
 -4.03476730e-02 -1.13450833e-01  2.92904004e-02  8.46239999e-02
 -1.21508494e-01 -1.22464918e-01 -1.04198113e-01  3.19790207e-02
  2.22075209e-01  3.84380855e-03 -2.94835530e-02  2.50438333e-01
  1.21817127e-01  1.52517185e-02  2.58904863e-02  7.43884370e-02
 -1.26017511e-01 -1.80761702e-03 -7.92788863e-02 -3.24358381e-02
  7.20574558e-02 -1.22104011e-01 -3.18964720e-02  8.13878030e-02
 -8.55350941e-02  2.63010442e-01 -8.73964839e-03  3.12517174e-02
 -2.70186923e-02 -5.66207990e-02 -5.41350096e-02  8.74085724e-03
  1.74761310e-01 -2.71041721e-01  2.20994711e-01  1.41198888e-01
  1.08087614e-01  1.35079131e-01  1.38875589e-01  4.77061495e-02
  1.60259660e-03 -4.26526591e-02 -1.11229084e-01 -4.25851643e-02
  4.35860492e-02 -9.64163989e-03 -1.07428664e-02 -7.68107921e-03]"
Zac Efron Short Straight   Caramel   Hairstyle  ,Men,Short,Straight,front_Zac Efron Short Straight   Caramel   Hairstyle  _Zac-Efron.jpg,1,1,0,0,1,0,1,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_Zac Efron Short Straight   Caramel   Hairstyle  _Zac-Efron.jpg,"[-0.12112798  0.13556133  0.06488101 -0.05919969 -0.06071535 -0.03368438
  0.0139838  -0.10149468  0.25187141 -0.03683563  0.20456523  0.03013371
 -0.24802615  0.03110951 -0.08120193 -0.0003881  -0.1299943  -0.1269377
 -0.04167526 -0.0243999   0.12528402  0.0468826  -0.01308417  0.08404028
 -0.19296923 -0.19901299 -0.14294149 -0.13055494  0.04927425 -0.10238071
  0.04474376  0.05792597 -0.23253858 -0.13362563 -0.01129749  0.02839646
 -0.09318184 -0.07356758  0.20112389  0.04988403 -0.03949814 -0.11424787
  0.0492166   0.28489223  0.07937787  0.04408849  0.06704552 -0.10353379
  0.078656   -0.25672421  0.06303283  0.2135101   0.15665749  0.16038562
  0.13670959 -0.15383492  0.11224444  0.1417086  -0.20077939  0.21812472
  0.09077984  0.0071758   0.00555439 -0.02564231  0.17184772 -0.02418618
 -0.06556863 -0.08951285  0.14830466 -0.15143062 -0.09673372  0.16973704
 -0.08895919 -0.28135899 -0.20086971  0.07504028  0.36701363  0.26053876
 -0.11130428  0.05079712 -0.10301307 -0.13964067 -0.0004354   0.0096992
 -0.08617404  0.02822275 -0.10849047  0.0767258   0.23855439  0.02844341
  0.04114072  0.31073746  0.05047631 -0.03943289 -0.01302534 -0.01745918
 -0.10560201  0.02442072 -0.10510089  0.00506903  0.01866662 -0.02891444
 -0.04510061  0.08645858 -0.15614088  0.09032997 -0.0109094  -0.1027703
 -0.12876989 -0.10076892 -0.21723045 -0.04131954  0.19322264 -0.25522038
  0.11810227  0.13667528  0.05429544  0.08618147  0.03990196  0.03002839
  0.07424831 -0.07609931 -0.12609436 -0.07083999  0.11876213 -0.0867375
 -0.02598081 -0.03027321]"
Zac Efron Short Straight   Light Brunette   Hairstyle  ,Men,Short,Straight,front_Zac Efron Short Straight   Light Brunette   Hairstyle  _Zac-Efron.jpg,1,1,0,0,1,0,1,0,1,1,1,1,1,1,/content/drive/My Drive/MALE/front_Zac Efron Short Straight   Light Brunette   Hairstyle  _Zac-Efron.jpg,"[-1.44093633e-01  1.61088705e-01  6.40048534e-02 -2.44535170e-02
 -7.90562257e-02 -1.78474784e-02 -2.99158394e-02 -8.10452998e-02
  2.28401124e-01 -1.20322378e-02  2.09149063e-01  1.13014523e-02
 -2.32433558e-01  6.74007088e-03 -7.23716468e-02  9.03074443e-03
 -1.48649573e-01 -1.00482836e-01 -1.34607591e-02 -1.05421953e-02
  1.34037644e-01  5.86461946e-02  2.67827511e-02  6.02585711e-02
 -2.10697189e-01 -2.32728988e-01 -1.37807846e-01 -1.35080397e-01
  2.36200765e-02 -1.12066150e-01  2.66763605e-02  4.33733165e-02
 -2.14519441e-01 -1.10626727e-01  1.69719495e-02 -4.26318496e-04
 -7.85947368e-02 -6.00503497e-02  2.11050853e-01  2.90347580e-02
 -3.20151448e-02 -1.39857024e-01  8.24161023e-02  2.72234440e-01
  6.98222965e-02  8.08627829e-02  5.45802787e-02 -5.67321479e-02
  9.81499702e-02 -2.37737015e-01  5.04646376e-02  2.20053852e-01
  1.53872684e-01  1.45077750e-01  1.18745022e-01 -1.64322123e-01
  1.02507219e-01  1.26607329e-01 -1.96453154e-01  1.96083546e-01
  5.13853431e-02  1.22822262e-02  2.35748142e-02  1.67521853e-02
  2.11459607e-01  1.43740624e-02 -5.34952171e-02 -1.19065918e-01
  1.37363911e-01 -1.46260127e-01 -7.53485858e-02  1.54748857e-01
 -1.20329767e-01 -2.83217371e-01 -1.98695228e-01  3.61107029e-02
  3.52143198e-01  2.18942463e-01 -1.04920961e-01  3.04808207e-02
 -7.64364302e-02 -1.55604720e-01 -3.34246233e-02  4.46518324e-02
 -1.09743096e-01  4.37527597e-02 -1.11575276e-01  6.71041384e-02
  2.58015543e-01 -2.10199505e-05  3.05022355e-02  3.15889150e-01
  6.65441453e-02 -1.73007660e-02 -1.66503787e-02 -6.17949665e-02
 -9.85990912e-02  1.06283929e-02 -8.24541375e-02  1.37588605e-02
 -1.35859540e-02 -2.02129371e-02 -4.07241806e-02  1.14818372e-01
 -1.58121198e-01  6.49909526e-02 -1.93374213e-02 -1.00206755e-01
 -1.70721069e-01 -7.80060217e-02 -1.97084591e-01 -6.84282184e-02
  1.57775551e-01 -2.36532539e-01  1.13818988e-01  1.32332996e-01
  7.39014745e-02  1.03941575e-01  1.36618977e-02  2.64685936e-02
  9.92336944e-02 -2.41231807e-02 -8.91786814e-02 -6.51875511e-02
  9.97919589e-02 -1.00121036e-01 -3.31041329e-02 -2.68538333e-02]"
Zac Efron Short Straight   Light Brunette   Hairstyle  ,Men,Short,Straight,front_Zac Efron Short Straight   Light Brunette   Hairstyle  _Zac-Efron.jpg,1,1,0,0,1,0,1,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_Zac Efron Short Straight   Light Brunette   Hairstyle  _Zac-Efron.jpg,"[-1.44093633e-01  1.61088705e-01  6.40048534e-02 -2.44535170e-02
 -7.90562257e-02 -1.78474784e-02 -2.99158394e-02 -8.10452998e-02
  2.28401124e-01 -1.20322378e-02  2.09149063e-01  1.13014523e-02
 -2.32433558e-01  6.74007088e-03 -7.23716468e-02  9.03074443e-03
 -1.48649573e-01 -1.00482836e-01 -1.34607591e-02 -1.05421953e-02
  1.34037644e-01  5.86461946e-02  2.67827511e-02  6.02585711e-02
 -2.10697189e-01 -2.32728988e-01 -1.37807846e-01 -1.35080397e-01
  2.36200765e-02 -1.12066150e-01  2.66763605e-02  4.33733165e-02
 -2.14519441e-01 -1.10626727e-01  1.69719495e-02 -4.26318496e-04
 -7.85947368e-02 -6.00503497e-02  2.11050853e-01  2.90347580e-02
 -3.20151448e-02 -1.39857024e-01  8.24161023e-02  2.72234440e-01
  6.98222965e-02  8.08627829e-02  5.45802787e-02 -5.67321479e-02
  9.81499702e-02 -2.37737015e-01  5.04646376e-02  2.20053852e-01
  1.53872684e-01  1.45077750e-01  1.18745022e-01 -1.64322123e-01
  1.02507219e-01  1.26607329e-01 -1.96453154e-01  1.96083546e-01
  5.13853431e-02  1.22822262e-02  2.35748142e-02  1.67521853e-02
  2.11459607e-01  1.43740624e-02 -5.34952171e-02 -1.19065918e-01
  1.37363911e-01 -1.46260127e-01 -7.53485858e-02  1.54748857e-01
 -1.20329767e-01 -2.83217371e-01 -1.98695228e-01  3.61107029e-02
  3.52143198e-01  2.18942463e-01 -1.04920961e-01  3.04808207e-02
 -7.64364302e-02 -1.55604720e-01 -3.34246233e-02  4.46518324e-02
 -1.09743096e-01  4.37527597e-02 -1.11575276e-01  6.71041384e-02
  2.58015543e-01 -2.10199505e-05  3.05022355e-02  3.15889150e-01
  6.65441453e-02 -1.73007660e-02 -1.66503787e-02 -6.17949665e-02
 -9.85990912e-02  1.06283929e-02 -8.24541375e-02  1.37588605e-02
 -1.35859540e-02 -2.02129371e-02 -4.07241806e-02  1.14818372e-01
 -1.58121198e-01  6.49909526e-02 -1.93374213e-02 -1.00206755e-01
 -1.70721069e-01 -7.80060217e-02 -1.97084591e-01 -6.84282184e-02
  1.57775551e-01 -2.36532539e-01  1.13818988e-01  1.32332996e-01
  7.39014745e-02  1.03941575e-01  1.36618977e-02  2.64685936e-02
  9.92336944e-02 -2.41231807e-02 -8.91786814e-02 -6.51875511e-02
  9.97919589e-02 -1.00121036e-01 -3.31041329e-02 -2.68538333e-02]"
Zac Efron Medium Straight   Dark Caramel Blonde   Hairstyle  ,Men,Medium,Straight,front_Zac Efron Medium Straight   Dark Caramel Blonde   Hairstyle  _Zac-Efron.jpg,0,1,1,0,0,1,0,0,0,1,0,0,0,0,/content/drive/My Drive/MALE/front_Zac Efron Medium Straight   Dark Caramel Blonde   Hairstyle  _Zac-Efron.jpg,"[-0.15245157  0.08012351 -0.02811666 -0.10530604 -0.0806526  -0.01154395
  0.02649481 -0.08682413  0.2082309  -0.00689685  0.23844734 -0.03854083
 -0.25897726 -0.03212519  0.0187832   0.0312188  -0.13552958 -0.09133193
 -0.06804446 -0.01506399  0.07355869  0.06688391 -0.01817162  0.17009436
 -0.1451005  -0.20106472 -0.09340207 -0.18792474  0.07820714 -0.12189826
 -0.0383476   0.03411268 -0.2011316  -0.09521454  0.06001364  0.03530845
 -0.10896648 -0.06063714  0.22915109  0.0272944  -0.11070168 -0.1150986
  0.04182303  0.25086004  0.13419588  0.00069651  0.00876893 -0.1137625
  0.16825292 -0.20981896  0.04935647  0.21541707  0.24785346  0.08429594
  0.09240369 -0.13346604  0.04132866  0.15915477 -0.23926526  0.20048784
  0.07259891 -0.07119203 -0.03149574 -0.06880186  0.18432914  0.00491831
 -0.14920916 -0.10749669  0.1481145  -0.14058864 -0.08983977  0.17676541
 -0.12310496 -0.2943033  -0.22421356  0.06351972  0.30841106  0.17296232
 -0.17708023  0.02028915 -0.07993798 -0.1250273  -0.03174036  0.08006628
 -0.1136535  -0.0151939  -0.07288926  0.05512122  0.23379949 -0.04357688
  0.08353797  0.28853351 -0.00597484  0.00410018 -0.02325673  0.01656346
 -0.09275947 -0.0398288  -0.0541706   0.01401378  0.01636814 -0.11460013
  0.00582263  0.09045115 -0.19548735  0.09334383  0.00159975 -0.08813654
 -0.09055092 -0.11167403 -0.15813479 -0.05057494  0.17886774 -0.25548905
  0.19038878  0.10464323  0.09911445  0.0758571   0.00798646  0.01729172
  0.04894589 -0.0628815  -0.12443945 -0.05759167  0.15477277 -0.06663565
 -0.00211367 -0.06099675]"
Zac Efron Short Straight    Ash Brunette   Hairstyle  ,Men,Short,Straight,front_Zac Efron Short Straight    Ash Brunette   Hairstyle  _Zac-Efron.jpg,1,1,0,0,1,0,1,0,1,1,1,1,0,0,/content/drive/My Drive/MALE/front_Zac Efron Short Straight    Ash Brunette   Hairstyle  _Zac-Efron.jpg,"[-0.12339563  0.11811012  0.01186056 -0.06934683 -0.06867346  0.02456805
  0.00612799 -0.06277463  0.19264948  0.00181175  0.25384292 -0.02166505
 -0.23931175  0.05039332 -0.07910858  0.02465197 -0.15786618 -0.07983761
 -0.05968467 -0.03313592  0.12785533  0.04130727 -0.0283684   0.09979784
 -0.16587007 -0.20994718 -0.11174911 -0.18092677  0.04249088 -0.12180952
  0.03330053  0.03913648 -0.21675709 -0.11508413  0.02082953 -0.05443709
 -0.10291819 -0.06202618  0.2209695   0.01249382 -0.06912576 -0.11248296
  0.07836858  0.25464416  0.08874987  0.02951698  0.02746364 -0.0931409
  0.04356604 -0.25776365  0.01234265  0.22196771  0.11282526  0.13806063
  0.10244224 -0.15209264  0.07762328  0.136562   -0.1666609   0.17861761
  0.05217366 -0.02492384 -0.01521742 -0.05240415  0.15529649 -0.01128757
 -0.07805485 -0.14537145  0.11250721 -0.11185208 -0.08248658  0.18879716
 -0.10589029 -0.3067694  -0.19450836  0.05816635  0.3893258   0.23230945
 -0.12010258  0.06388429 -0.1088732  -0.15067226  0.02322354  0.02596389
 -0.06160133  0.00645313 -0.07812872  0.09083895  0.18832697 -0.01460472
  0.04874518  0.27691519 -0.01544779 -0.02293237 -0.01625799  0.02988315
 -0.11842053  0.03158929 -0.08519108 -0.00604627  0.02614542 -0.00937377
 -0.01063558  0.11575024 -0.1564391   0.06907633 -0.03061612 -0.08989921
 -0.11470616 -0.096655   -0.14135067 -0.01465248  0.18123448 -0.25120276
  0.10728429  0.13495199  0.04129912  0.07600187  0.05679641 -0.00155075
  0.0518497  -0.0606926  -0.21274161 -0.0341414   0.11244906 -0.06207609
 -0.04699506 -0.07892468]"
Zac Efron Medium Straight   Ash   Hairstyle with Side Swept Bangs ,Men,Medium,Straight,front_Zac Efron Medium Straight   Ash   Hairstyle with Side Swept Bangs _Zac-Efron.jpg,0,1,1,0,0,1,0,0,1,1,1,0,0,0,/content/drive/My Drive/MALE/front_Zac Efron Medium Straight   Ash   Hairstyle with Side Swept Bangs _Zac-Efron.jpg,"[-0.10383401  0.08134811  0.0388621  -0.10631382 -0.09036008 -0.00129419
  0.03638741 -0.08552655  0.19856828 -0.02463642  0.20153221 -0.0286818
 -0.24303472  0.04643345 -0.06936067  0.00780458 -0.1666925  -0.1277132
 -0.07810126 -0.02831269  0.101971    0.04884163 -0.08258387  0.10460426
 -0.20068724 -0.20078394 -0.11176701 -0.13906424  0.08477363 -0.09371378
  0.03506511  0.02809362 -0.23654866 -0.08430076  0.03882031  0.01618029
 -0.07386556 -0.09798478  0.17027074  0.05414658 -0.10197893 -0.10799435
  0.05533601  0.23032662  0.11512536  0.01108275  0.03914289 -0.09377894
  0.08641538 -0.23679218  0.02941829  0.22189632  0.17713405  0.12764359
  0.10371611 -0.16828392  0.0749052   0.17079352 -0.1911916   0.19141454
  0.08350547 -0.04318422 -0.00753199 -0.04287739  0.12257545 -0.04297056
 -0.10749544 -0.12729467  0.15944341 -0.15075801 -0.09456059  0.11974248
 -0.08108439 -0.27084962 -0.2014384   0.06909885  0.38087142  0.25695661
 -0.16113114  0.06891368 -0.10029051 -0.10790117  0.00546021  0.0561469
 -0.07976159  0.03195355 -0.08267783  0.07469837  0.19876654  0.01488156
  0.08035545  0.28227946 -0.02374535 -0.03012264 -0.01908891 -0.02394687
 -0.14330009  0.02970419 -0.0476335  -0.00838589  0.02958388 -0.02677773
  0.00490047  0.11782709 -0.16368812  0.12484573 -0.02568959 -0.09229916
 -0.10249252 -0.11291119 -0.13535064 -0.01127944  0.18988037 -0.25382903
  0.12628317  0.14279722  0.05751593  0.08925051  0.07420431 -0.00618447
  0.09218967 -0.05627811 -0.18147376 -0.06294522  0.09199565 -0.12170857
 -0.01843401 -0.06013966]"
Zac Efron Medium Straight   Dark Brunette   Hairstyle with Side Swept Bangs ,Men,Medium,Straight,front_Zac Efron Medium Straight   Dark Brunette   Hairstyle with Side Swept Bangs _Zac-Efron.jpg,0,1,1,1,0,1,0,0,1,1,1,0,0,0,/content/drive/My Drive/MALE/front_Zac Efron Medium Straight   Dark Brunette   Hairstyle with Side Swept Bangs _Zac-Efron.jpg,"[-0.1500273   0.13294955  0.02548935 -0.09915349 -0.11451869 -0.02659559
  0.01679204 -0.03654028  0.23299226 -0.02157257  0.19606379 -0.05373428
 -0.25476107  0.05347835 -0.06322681  0.03968377 -0.21297118 -0.1451702
 -0.04938382 -0.13556284  0.07893363  0.11138206 -0.10138622  0.1270868
 -0.23196392 -0.21484296 -0.06385773 -0.16618334  0.09710534 -0.1079698
  0.00303707  0.04164059 -0.17624311 -0.06933354  0.07013066  0.09060901
 -0.07490608 -0.05679247  0.18957698  0.05931488 -0.11318074 -0.09535757
  0.07014302  0.2981115   0.19200495  0.03108568  0.00743279 -0.09676094
  0.12522726 -0.21381204  0.04378976  0.25925976  0.18541627  0.15751559
  0.10310283 -0.1567311   0.01258157  0.16270021 -0.18432222  0.1469394
  0.11818879 -0.09479289  0.00163837 -0.05782869  0.13963246 -0.05685724
 -0.11764509 -0.11388795  0.217526   -0.1935672  -0.14454834  0.16427287
 -0.06271817 -0.24023357 -0.2009902   0.09806197  0.35152048  0.23859674
 -0.11026372  0.03359946 -0.03038801 -0.1060915   0.00949616  0.06636883
 -0.10688035 -0.02842879 -0.07708558  0.08648836  0.23429152  0.01986974
  0.06640796  0.2312858  -0.00541133 -0.00743627 -0.00633786  0.04310414
 -0.13385019  0.03979681 -0.04659153  0.00914631  0.06382396 -0.07766977
 -0.00072046  0.10515961 -0.16914733  0.13581073 -0.02461342 -0.09504973
 -0.14304684 -0.08982307 -0.10410656  0.0302103   0.24038956 -0.2598511
  0.18589398  0.16077128  0.06040196  0.12018076  0.03341856 -0.01392454
  0.06791733 -0.12495375 -0.17093661 -0.10690036  0.06139943 -0.10868451
  0.01263563 -0.02101216]"
